monthName,startingDate,EndingDate
"13, Poush",16/12/2004,14/01/2005
"16, Falgun (Phalgun)",13/02/2005,14/03/2005
"14, Choitro (Chaitra)",15/03/2005,13/04/2005
"14, Joishtho (Jaishtho)",15/05/2005,15/06/2005
"12, Srabon (Shraban)",17/07/2005,16/08/2005
"12, Bhadro (Bhadra)",17/08/2005,16/09/2005
"12, Ashshin (Aashin)",17/09/2005,17/10/2005
"11, Kartik",18/10/2005,16/11/2005
"12, Ogrohaeon (Agrahan)",17/11/2005,16/12/2005
"14, Magh (Maagh)",15/01/2006,13/02/2006
"15, Falgun (Phalgun)",14/02/2006,14/03/2006
"14, Choitro (Chaitra)",15/03/2006,14/04/2006
"14, Boishakh (Baisakh)",15/04/2006,15/05/2006
"13, Joishtho (Jaishtho)",16/05/2006,15/06/2006
"13, Asharh (Aashar)",16/06/2006,16/07/2006
"12, Srabon (Shraban)",17/07/2006,17/08/2006
"11, Bhadro (Bhadra)",18/08/2006,17/09/2006
"11, Ashshin (Aashin)",18/09/2006,17/10/2006
"11, Kartik",18/10/2006,16/11/2006
"12, Poush",17/12/2006,14/01/2007
"14, Magh (Maagh)",15/01/2007,13/02/2007
"15, Falgun (Phalgun)",14/02/2007,15/03/2007
"14, Boishakh (Baisakh)",15/04/2007,15/05/2007
"13, Joishtho (Jaishtho)",16/05/2007,15/06/2007
"13, Asharh (Aashar)",16/06/2007,17/07/2007
"11, Srabon (Shraban)",18/07/2007,17/08/2007
"11, Bhadro (Bhadra)",18/08/2007,17/09/2007
"11, Ashshin (Aashin)",18/09/2007,17/10/2007
"11, Kartik",18/10/2007,16/11/2007
"12, Ogrohaeon (Agrahan)",17/11/2007,16/12/2007
"12, Poush",17/12/2007,15/01/2008
"13, Magh (Maagh)",16/01/2008,13/02/2008
"15, Falgun (Phalgun)",14/02/2008,14/03/2008
"14, Choitro (Chaitra)",15/03/2008,13/04/2008
"15, Boishakh (Baisakh)",14/04/2008,14/05/2008
"14, Asharh (Aashar)",15/06/2008,16/07/2008
"12, Bhadro (Bhadra)",17/08/2008,16/09/2008
"12, Ashshin (Aashin)",17/09/2008,17/10/2008
"11, Kartik",18/10/2008,16/11/2008
"12, Ogrohaeon (Agrahan)",17/11/2008,15/12/2008
"13, Poush",16/12/2008,14/01/2009
"14, Magh (Maagh)",15/01/2009,12/02/2009
"14, Choitro (Chaitra)",15/03/2009,14/04/2009
"14, Boishakh (Baisakh)",15/04/2009,14/05/2009
"14, Joishtho (Jaishtho)",15/05/2009,15/06/2009
"13, Asharh (Aashar)",16/06/2009,16/07/2009
"12, Srabon (Shraban)",17/07/2009,16/08/2009
"12, Bhadro (Bhadra)",17/08/2009,16/09/2009
"11, Kartik",18/10/2009,16/11/2009
"12, Ogrohaeon (Agrahan)",17/11/2009,16/12/2009
"12, Poush",17/12/2009,14/01/2010
"15, Falgun (Phalgun)",14/02/2010,14/03/2010
"14, Choitro (Chaitra)",15/03/2010,14/04/2010
"13, Joishtho (Jaishtho)",16/05/2010,15/06/2010
"13, Asharh (Aashar)",16/06/2010,16/07/2010
"12, Srabon (Shraban)",17/07/2010,17/08/2010
"11, Bhadro (Bhadra)",18/08/2010,17/09/2010
"11, Ashshin (Aashin)",18/09/2010,17/10/2010
"11, Kartik",18/10/2010,16/11/2010
"12, Ogrohaeon (Agrahan)",17/11/2010,16/12/2010
"12, Poush",17/12/2010,14/01/2011
"14, Magh (Maagh)",15/01/2011,13/02/2011
"15, Falgun (Phalgun)",14/02/2011,15/03/2011
"13, Choitro (Chaitra)",16/03/2011,14/04/2011
"14, Boishakh (Baisakh)",15/04/2011,15/05/2011
"13, Joishtho (Jaishtho)",16/05/2011,15/06/2011
