month_name,starting_date,ending_date
Chaitra,04-apr-1992,02-may-1992
Vaishakha,03-may-1992,01-jun-1992
Jyeshta,02-jun-1992,30-jun-1992
,01-jul-1992,29-jul-1992
Shravana,30-jul-1992,28-aug-1992
Bhadarvo,29-aug-1992,26-sep-1992
Aso,27-sep-1992,25-oct-1992
Kartak,26-oct-1992,24-nov-1992
Magshar,25-nov-1992,23-dec-1992
Posh,24-dec-1992,22-jan-1993
Maha,23-jan-1993,21-feb-1993
Phaguna,22-feb-1993,23-mar-1993
Chaitra,24-mar-1993,21-apr-1993
Vaishakha,22-apr-1993,21-may-1993
Jyeshta,22-may-1993,20-jun-1993
Ashadha,21-jun-1993,19-jul-1993
Shravana,20-jul-1993,17-aug-1993
Bhadarvo,18-aug-1993,16-sep-1993
Bhadarvo,17-sep-1993,15-oct-1993
Aso,16-oct-1993,13-nov-1993
Kartak,14-nov-1993,13-dec-1993
Magshar,14-dec-1993,11-jan-1994
Posh,12-jan-1994,10-feb-1994
Maha,11-feb-1994,12-mar-1994
Phaguna,13-mar-1994,10-apr-1994
Chaitra,11-apr-1994,10-may-1994
Vaishakha,11-may-1994,09-jun-1994
Jyeshta,10-jun-1994,08-jul-1994
Ashadha,09-jul-1994,07-aug-1994
Shravana,08-aug-1994,05-sep-1994
Bhadarvo,06-sep-1994,05-oct-1994
Aso,06-oct-1994,03-nov-1994
Kartak,04-nov-1994,02-dec-1994
Magshar,03-dec-1994,01-jan-1995
Posh,02-jan-1995,30-jan-1995
Maha,31-jan-1995,01-mar-1995
Phaguna,02-mar-1995,31-mar-1995
,01-apr-1995,29-apr-1995
Vaishakha,30-apr-1995,29-may-1995
Jyeshta,30-may-1995,27-jun-1995
,28-jun-1995,27-jul-1995
Shravana,28-jul-1995,26-aug-1995
Bhadarvo,27-aug-1995,24-sep-1995
Aso,25-sep-1995,24-oct-1995
Kartak,25-oct-1995,22-nov-1995
Magshar,23-nov-1995,22-dec-1995
Posh,23-dec-1995,20-jan-1996
Maha,21-jan-1996,18-feb-1996
Phaguna,19-feb-1996,19-mar-1996
Chaitra,20-mar-1996,17-apr-1996
Vaishakha,18-apr-1996,17-may-1996
Jyeshta,18-may-1996,15-jun-1996
,16-jun-1996,15-jul-1996
Ashadha,16-jul-1996,14-aug-1996
Shravana,15-aug-1996,12-sep-1996
Bhadarvo,13-sep-1996,12-oct-1996
Aso,13-oct-1996,11-nov-1996
Kartak,12-nov-1996,10-dec-1996
Magshar,11-dec-1996,09-jan-1997
Posh,10-jan-1997,07-feb-1997
Maha,08-feb-1997,08-mar-1997
,09-mar-1997,07-apr-1997
Chaitra,08-apr-1997,06-may-1997
Vaishakha,07-may-1997,05-jun-1997
Jyeshta,06-jun-1997,04-jul-1997
Ashadha,05-jul-1997,03-aug-1997
Shravana,04-aug-1997,01-sep-1997
Bhadarvo,02-sep-1997,01-oct-1997
Aso,02-oct-1997,31-oct-1997
,01-nov-1997,30-nov-1997
,01-dec-1997,29-dec-1997
Posh,30-dec-1997,28-jan-1998
Maha,29-jan-1998,26-feb-1998
Phaguna,27-feb-1998,28-mar-1998
Chaitra,29-mar-1998,26-apr-1998
Vaishakha,27-apr-1998,25-may-1998
Jyeshta,26-may-1998,24-jun-1998
Ashadha,25-jun-1998,23-jul-1998
Shravana,24-jul-1998,22-aug-1998
Bhadarvo,23-aug-1998,20-sep-1998
Aso,21-sep-1998,20-oct-1998
Kartak,21-oct-1998,19-nov-1998
Magshar,20-nov-1998,18-dec-1998
Posh,19-dec-1998,17-jan-1999
Maha,18-jan-1999,16-feb-1999
Phaguna,17-feb-1999,17-mar-1999
Chaitra,18-mar-1999,16-apr-1999
Vaishakha,17-apr-1999,15-may-1999
Jyeshta,16-may-1999,13-jun-1999
Jyeshta,14-jun-1999,13-jul-1999
Ashadha,14-jul-1999,11-aug-1999
Shravana,12-aug-1999,09-sep-1999
Bhadarvo,10-sep-1999,09-oct-1999
Aso,10-oct-1999,08-nov-1999
Kartak,09-nov-1999,07-dec-1999
Magshar,08-dec-1999,06-jan-2000
Posh,07-jan-2000,05-feb-2000
Maha,06-feb-2000,06-mar-2000
Phaguna,07-mar-2000,04-apr-2000
Chaitra,05-apr-2000,04-may-2000
Vaishakha,05-may-2000,02-jun-2000
Jyeshta,03-jun-2000,01-jul-2000
Ashadha,02-jul-2000,31-jul-2000
,01-aug-2000,29-aug-2000
Bhadarvo,30-aug-2000,27-sep-2000
Aso,28-sep-2000,27-oct-2000
Kartak,28-oct-2000,25-nov-2000
Magshar,26-nov-2000,25-dec-2000
