month_name,starting_date,ending_date
Maha,25-jan-2020,23-feb-2020
Phaguna,24-feb-2020,24-mar-2020
Chaitra,25-mar-2020,22-apr-2020
,23-apr-2020,22-may-2020
Jyeshta,23-may-2020,21-jun-2020
Ashadha,22-jun-2020,20-jul-2020
Shravana,21-jul-2020,19-aug-2020
Bhadarvo,20-aug-2020,17-sep-2020
Aso,18-sep-2020,16-oct-2020
Aso,17-oct-2020,15-nov-2020
Kartak,16-nov-2020,14-dec-2020
Magshar,15-dec-2020,13-jan-2021
Posh,14-jan-2021,11-feb-2021
Maha,12-feb-2021,13-mar-2021
Phaguna,14-mar-2021,11-apr-2021
,12-apr-2021,11-may-2021
Vaishakha,12-may-2021,10-jun-2021
Jyeshta,11-jun-2021,09-jul-2021
,10-jul-2021,08-aug-2021
Shravana,09-aug-2021,06-sep-2021
,07-sep-2021,06-oct-2021
Aso,07-oct-2021,04-nov-2021
Kartak,05-nov-2021,04-dec-2021
Magshar,05-dec-2021,02-jan-2022
Posh,03-jan-2022,01-feb-2022
Maha,02-feb-2022,02-mar-2022
Phaguna,03-mar-2022,30-may-2022
Jyeshta,31-may-2022,28-jun-2022
,29-jun-2022,28-jul-2022
Shravana,29-jul-2022,27-aug-2022
Bhadarvo,28-aug-2022,25-sep-2022
Aso,26-sep-2022,25-oct-2022
Kartak,26-oct-2022,23-nov-2022
Magshar,24-nov-2022,23-dec-2022
Posh,24-dec-2022,21-jan-2023
Maha,22-jan-2023,20-feb-2023
Phaguna,21-feb-2023,21-mar-2023
Chaitra,22-mar-2023,20-apr-2023
Vaishakha,21-apr-2023,19-may-2023
Jyeshta,20-may-2023,18-jun-2023
Ashadha,19-jun-2023,17-jul-2023
Shravana,18-jul-2023,16-aug-2023
Shravana,17-aug-2023,14-sep-2023
,15-sep-2023,14-oct-2023
Aso,15-oct-2023,13-nov-2023
Kartak,14-nov-2023,12-dec-2023
Magshar,13-dec-2023,11-jan-2024
Posh,12-jan-2024,09-feb-2024
Maha,10-feb-2024,10-mar-2024
Phaguna,11-mar-2024,08-apr-2024
Chaitra,09-apr-2024,08-may-2024
Vaishakha,09-may-2024,06-jun-2024
Jyeshta,07-jun-2024,05-jul-2024
Ashadha,06-jul-2024,04-aug-2024
Shravana,05-aug-2024,02-sep-2024
,03-sep-2024,02-oct-2024
Aso,03-oct-2024,01-nov-2024
Kartak,02-nov-2024,01-dec-2024
Magshar,02-dec-2024,30-dec-2024
Posh,31-dec-2024,29-jan-2025
Maha,30-jan-2025,27-feb-2025
Phaguna,28-feb-2025,29-mar-2025
Chaitra,30-mar-2025,27-apr-2025
Vaishakha,28-apr-2025,27-may-2025
Jyeshta,28-may-2025,25-jun-2025
Ashadha,26-jun-2025,24-jul-2025
Shravana,25-jul-2025,23-aug-2025
Bhadarvo,24-aug-2025,21-sep-2025
Aso,22-sep-2025,21-oct-2025
Kartak,22-oct-2025,20-nov-2025
Magshar,21-nov-2025,19-dec-2025
